serv_ID,serv_name,serv_category,serv_description,serv_price
1,Classic Facial,Basic Facial,"Cleansing, exfoliation and mask for everyday skin maintenance.",112.50
2,Express Facial,Basic Facial,"Cleansing, exfoliation and mask for everyday skin maintenance.",90.00
3,Deep Cleansing Facial,Deep Cleansing,Thorough pore cleansing with extraction.,165.00
4,Blackhead Extraction Facial,Deep Cleansing,Thorough pore cleansing with extraction.,142.50
5,HydraFacial,Hydrating,Intensive moisture infusion for dehydrated skin.,330.00
6,Hydrating Glow Facial,Hydrating,Intensive moisture infusion for dehydrated skin.,247.50
7,Anti Aging Collagen Facial,Anti Aging,Advanced firming and rejuvenation treatment.,420.00
8,Gold Radiance Facial,Anti Aging,Advanced firming and rejuvenation treatment.,480.00
9,Diamond Peel Facial,Anti Aging,Advanced firming and rejuvenation treatment.,375.00
10,Vitamin C Brightening Facial,Brightening,Targets dullness and uneven skin tone.,225.00
11,Whitening Facial,Brightening,Targets dullness and uneven skin tone.,270.00
12,Acne Clear Facial,Acne Treatment,Calms active breakouts and controls oil.,195.00
13,Oxygen Infusion Facial,Acne Treatment,Calms active breakouts and controls oil.,240.00
14,Eye Treatment Add on,Add on,Optional enhancement added to a main treatment.,52.50
15,LED Light Therapy Add on,Add on,Optional enhancement added to a main treatment.,82.50
16,Shoulder and Neck Massage Add on,Add on,Optional enhancement added to a main treatment.,60.00
17,Microneedling Rejuvenation,Anti Aging,Advanced firming and rejuvenation treatment.,570.00
18,Scalp Detox Add on,Add on,Optional enhancement added to a main treatment.,67.50
